ssim_no_correct,trial,label,ssim_score,ber_at_sigma_0p05,ssim_pipeline,retained_value_vs_random,n_nodes,errors,regret_ratio_vs_age_only,ssim_corrupt,recall,claim,n_trials,mse_score,state_accuracy_at_sigma_0p05,ber,corrupt_size,f1,n_bleach,total,uplift_vs_each_ablation,retained_value_triple,min_success_rate,state_accuracy,uplift_vs_no_verify,mse_baseline_auc,ssim_no_verify,roc_auc,age_only_regret,n_repair,crosstalk,ssim_delta,effective_capacity_gain_vs_single_channel,n_protected,retained_value_random,seed,ssim_vs_mse_auc_delta,precision,sigma,fnr_at_threshold,adaptive_threshold,triple_regret
,0,0,1.0,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,42,,,,,,
,1,1,0.30522519846059387,,,,,,,,,,,0.028458604194952327,,,60,,,,,,,,,,,,,,,,,,,43,,,,,,
,2,1,0.9999999902668576,,,,,,,,,,,5.008317685938972e-10,,,70,,,,,,,,,,,,,,,,,,,44,,,,,,
,3,1,0.201198037015049,,,,,,,,,,,0.04050601269541917,,,90,,,,,,,,,,,,,,,,,,,45,,,,,,
,4,1,0.9999999962291083,,,,,,,,,,,2.870893306906893e-10,,,60,,,,,,,,,,,,,,,,,,,46,,,,,,
,5,0,1.0,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,47,,,,,,
,6,1,0.9423134417111241,,,,,,,,,,,0.004285786822495726,,,30,,,,,,,,,,,,,,,,,,,48,,,,,,
,7,0,1.0,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,49,,,,,,
,8,1,0.9408230473210569,,,,,,,,,,,0.003289752973564302,,,80,,,,,,,,,,,,,,,,,,,50,,,,,,
,9,1,0.9999999994616894,,,,,,,,,,,3.997713989000912e-11,,,50,,,,,,,,,,,,,,,,,,,51,,,,,,
,10,1,0.30233437722829126,,,,,,,,,,,0.028681345474304447,,,90,,,,,,,,,,,,,,,,,,,52,,,,,,
,11,1,0.9999980702918574,,,,,,,,,,,1.0792895852521051e-07,,,80,,,,,,,,,,,,,,,,,,,53,,,,,,
,12,1,0.9999999987866165,,,,,,,,,,,4.973628925935053e-11,,,40,,,,,,,,,,,,,,,,,,,54,,,,,,
,13,1,0.9711371876949635,,,,,,,,,,,0.0005280964950980149,,,90,,,,,,,,,,,,,,,,,,,55,,,,,,
,14,1,0.9999991943981118,,,,,,,,,,,1.601392377660415e-08,,,40,,,,,,,,,,,,,,,,,,,56,,,,,,
,15,0,1.0,,,,,,,,,,,0.0,,,0,,,,,,,,,,,,,,,,,,,57,,,,,,
,16,1,0.9595143035749815,,,,,,,,,,,0.001022907223189074,,,60,,,,,,,,,,,,,,,,,,,58,,,,,,
,17,1,0.2985073195250765,,,,,,,,,,,0.028782710317007514,,,80,,,,,,,,,,,,,,,,,,,59,,,,,,
,18,1,0.9999999848298922,,,,,,,,,,,1.0381069703015219e-10,,,30,,,,,,,,,,,,,,,,,,,60,,,,,,
,19,1,0.9999957634447088,,,,,,,,,,,3.000947094173061e-07,,,50,,,,,,,,,,,,,,,,,,,61,,,,,,
,,,,,,,,,,,,c1_sim1_verify,20,,,,,,,,,,,,,1.0,,1.0,,,,0.192435,,,,42,0.0,,,0.75,0.903783,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.0,,,,,,,,0.0,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.01,,,,,,,,0.0,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.03,,,,,,,,0.0,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.05,,,,,,,,0.0,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.0,,,,,,,,0.01,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.01,,,,,,,,0.01,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.03,,,,,,,,0.01,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.05,,,,,,,,0.01,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.0,,,,,,,,0.02,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.01,,,,,,,,0.02,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.03,,,,,,,,0.02,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.05,,,,,,,,0.02,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.0,,,,,,,,0.05,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.01,,,,,,,,0.05,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.03,,,,,,,,0.05,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.05,,,,,,,,0.05,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.0,,,,,,,,0.08,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.01,,,,,,,,0.08,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.03,,,,,,,,0.08,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.05,,,,,,,,0.08,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.0,,,,,,,,0.1,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.01,,,,,,,,0.1,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.03,,,,,,,,0.1,,,
,,,,,,,,0,,,,c2_sim2_oomphlap,,,,0.0,,,,16,,,,1.0,,,,,,,0.05,,,,,,,,0.1,,,
,,,,0.0,,,,,,,,c2_sim2_oomphlap,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
,,,,,,1.14207,300,,0.552653,,1.0,c3_sim3_consolicant,,,,,,1.0,54,,,2.068642,,,,,,,15.674312,19,,,,227,1.81131,42,,1.0,,,,8.662457
1.0,0,,,,1.0,,,,,1.0,,c4_sim4_pipeline,,,,,25,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,
0.933302,1,,,,0.933302,,,,,0.933302,,c4_sim4_pipeline,,,,,50,,,,,,,,0.0,,0.933302,,,,,,,,,,,,,,,
1.0,2,,,,1.0,,,,,1.0,,c4_sim4_pipeline,,,,,60,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,
0.2864,3,,,,0.2864,,,,,0.2864,,c4_sim4_pipeline,,,,,75,,,,,,,,0.0,,0.2864,,,,,,,,,,,,,,,
1.0,4,,,,1.0,,,,,1.0,,c4_sim4_pipeline,,,,,50,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,
0.999999,5,,,,0.999999,,,,,0.999999,,c4_sim4_pipeline,,,,,25,,,,,,,,0.0,,0.999999,,,,,,,,,,,,,,,
0.947998,6,,,,0.947998,,,,,0.947998,,c4_sim4_pipeline,,,,,27,,,,,,,,0.0,,0.947998,,,,,,,,,,,,,,,
1.0,7,,,,1.0,,,,,1.0,,c4_sim4_pipeline,,,,,22,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,
0.999984,8,,,,0.999984,,,,,0.999984,,c4_sim4_pipeline,,,,,66,,,,,,,,0.0,,0.999984,,,,,,,,,,,,,,,
1.0,9,,,,1.0,,,,,1.0,,c4_sim4_pipeline,,,,,43,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,
0.975486,10,,,,0.975486,,,,,0.975486,,c4_sim4_pipeline,,,,,77,,,,,,,,0.0,,0.975486,,,,,,,,,,,,,,,
0.999999,11,,,,0.999999,,,,,0.999999,,c4_sim4_pipeline,,,,,65,,,,,,,,0.0,,0.999999,,,,,,,,,,,,,,,
1.0,12,,,,1.0,,,,,1.0,,c4_sim4_pipeline,,,,,38,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,
0.99991,13,,,,0.99991,,,,,0.99991,,c4_sim4_pipeline,,,,,77,,,,,,,,0.0,,0.99991,,,,,,,,,,,,,,,
0.999999,14,,,,0.999999,,,,,0.999999,,c4_sim4_pipeline,,,,,42,,,,,,,,0.0,,0.999999,,,,,,,,,,,,,,,
1.0,15,,,,1.0,,,,,1.0,,c4_sim4_pipeline,,,,,23,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,
0.971984,16,,,,0.971984,,,,,0.971984,,c4_sim4_pipeline,,,,,50,,,,,,,,0.0,,0.971984,,,,,,,,,,,,,,,
0.94192,17,,,,0.94192,,,,,0.94192,,c4_sim4_pipeline,,,,,67,,,,,,,,0.0,,0.94192,,,,,,,,,,,,,,,
1.0,18,,,,1.0,,,,,1.0,,c4_sim4_pipeline,,,,,30,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,
0.999999,19,,,,0.999999,,,,,0.999999,,c4_sim4_pipeline,,,,,45,,,,,,,,0.0,,0.999999,,,,,,,,,,,,,,,
,,,,,,,,,,,,c4_sim4_pipeline,20,,,,,,,,0.0,,0.95,,,,,,,,,,,,,,,,,,,
