uplift_vs_no_verify,ssim_score,age_only_regret,state_accuracy,seed,adaptive_threshold,n_repair,claim,ssim_corrupt,label,recall,mse_score,declared_ablation_count,mse_baseline_auc,fnr_at_threshold,n_protected,effective_capacity_gain_vs_single_channel,ssim_delta,triple_regret,ssim_no_verify,modeled_ablation_count,trial,retained_value_triple,min_success_rate,ssim_vs_mse_auc_delta,crosstalk,f1,precision,ssim_pipeline,sigma,retained_value_random,total,n_nodes,ber_at_sigma_0p05,uplift_vs_modeled_ablations,all_ablations_modeled,regret_ratio_vs_age_only,n_trials,retained_value_vs_random,ssim_no_correct,n_bleach,uplift_vs_no_correction_write,state_accuracy_at_sigma_0p05,corrupt_size,roc_auc,errors,ber
,1.0,,,42,,,,,0,,0.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
,0.30522519846059387,,,43,,,,,1,,0.028458604194952327,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,60,,,
,0.9999999902668576,,,44,,,,,1,,5.008317685938972e-10,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,70,,,
,0.201198037015049,,,45,,,,,1,,0.04050601269541917,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,90,,,
,0.9999999962291083,,,46,,,,,1,,2.870893306906893e-10,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,60,,,
,1.0,,,47,,,,,0,,0.0,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,0,,,
,0.9423134417111241,,,48,,,,,1,,0.004285786822495726,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,30,,,
,1.0,,,49,,,,,0,,0.0,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,0,,,
,0.9408230473210569,,,50,,,,,1,,0.003289752973564302,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,80,,,
,0.9999999994616894,,,51,,,,,1,,3.997713989000912e-11,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,50,,,
,0.30233437722829126,,,52,,,,,1,,0.028681345474304447,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,90,,,
,0.9999980702918574,,,53,,,,,1,,1.0792895852521051e-07,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,80,,,
,0.9999999987866165,,,54,,,,,1,,4.973628925935053e-11,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,40,,,
,0.9711371876949635,,,55,,,,,1,,0.0005280964950980149,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,90,,,
,0.9999991943981118,,,56,,,,,1,,1.601392377660415e-08,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,40,,,
,1.0,,,57,,,,,0,,0.0,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,0,,,
,0.9595143035749815,,,58,,,,,1,,0.001022907223189074,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,60,,,
,0.2985073195250765,,,59,,,,,1,,0.028782710317007514,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,80,,,
,0.9999999848298922,,,60,,,,,1,,1.0381069703015219e-10,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,30,,,
,0.9999957634447088,,,61,,,,,1,,3.000947094173061e-07,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,50,,,
,,,,42,0.903783,,c1_sim1_verify,,,,,,1.0,0.75,,,0.192435,,,,,,,0.0,,,,,,,,,,,,,20,,,,,,,1.0,,
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.01,,,,0.0,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.03,,,,0.0,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.05,,,,0.0,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.0,,,,0.01,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.03,,,,0.01,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.05,,,,0.01,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.0,,,,0.02,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.03,,,,0.02,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.05,,,,0.02,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.0,,,,0.05,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.01,,,,0.05,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.03,,,,0.05,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.05,,,,0.05,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.0,,,,0.08,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.01,,,,0.08,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.03,,,,0.08,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.05,,,,0.08,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.0,,,,0.1,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.01,,,,0.1,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.03,,,,0.1,,16,,,,,,,,,,,,,,0,0.0
,,,1.0,,,,c2_sim2_oomphlap,,,,,,,,,,,,,,,,,,0.05,,,,0.1,,16,,,,,,,,,,,,,,0,0.0
,,,,,,,c2_sim2_oomphlap,,,,,,,,,4.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,
,,15.674312,,42,,19,c3_sim3_consolicant,,,1.0,,,,,227,,,8.662457,,,,2.068642,,,,1.0,1.0,,,1.81131,,300,,,,0.552653,,1.14207,,54,,,,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,0,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,25,,,
0.0,,,,,,,c4_sim4_pipeline,0.933302,,,,,,,,,,,0.933302,,1,,,,,,,0.933302,,,,,,,,,,,0.933302,,0.0,,50,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,2,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,60,,,
0.0,,,,,,,c4_sim4_pipeline,0.2864,,,,,,,,,,,0.2864,,3,,,,,,,0.2864,,,,,,,,,,,0.2864,,0.0,,75,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,4,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,50,,,
0.0,,,,,,,c4_sim4_pipeline,0.999999,,,,,,,,,,,0.999999,,5,,,,,,,0.999999,,,,,,,,,,,0.999999,,0.0,,25,,,
0.0,,,,,,,c4_sim4_pipeline,0.947998,,,,,,,,,,,0.947998,,6,,,,,,,0.947998,,,,,,,,,,,0.947998,,0.0,,27,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,7,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,22,,,
0.0,,,,,,,c4_sim4_pipeline,0.999984,,,,,,,,,,,0.999984,,8,,,,,,,0.999984,,,,,,,,,,,0.999984,,0.0,,66,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,9,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,43,,,
0.0,,,,,,,c4_sim4_pipeline,0.975486,,,,,,,,,,,0.975486,,10,,,,,,,0.975486,,,,,,,,,,,0.975486,,0.0,,77,,,
0.0,,,,,,,c4_sim4_pipeline,0.999999,,,,,,,,,,,0.999999,,11,,,,,,,0.999999,,,,,,,,,,,0.999999,,0.0,,65,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,12,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,38,,,
0.0,,,,,,,c4_sim4_pipeline,0.99991,,,,,,,,,,,0.99991,,13,,,,,,,0.99991,,,,,,,,,,,0.99991,,0.0,,77,,,
0.0,,,,,,,c4_sim4_pipeline,0.999999,,,,,,,,,,,0.999999,,14,,,,,,,0.999999,,,,,,,,,,,0.999999,,0.0,,42,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,15,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,23,,,
0.0,,,,,,,c4_sim4_pipeline,0.971984,,,,,,,,,,,0.971984,,16,,,,,,,0.971984,,,,,,,,,,,0.971984,,0.0,,50,,,
0.0,,,,,,,c4_sim4_pipeline,0.94192,,,,,,,,,,,0.94192,,17,,,,,,,0.94192,,,,,,,,,,,0.94192,,0.0,,67,,,
0.0,,,,,,,c4_sim4_pipeline,1.0,,,,,,,,,,,1.0,,18,,,,,,,1.0,,,,,,,,,,,1.0,,0.0,,30,,,
0.0,,,,,,,c4_sim4_pipeline,0.999999,,,,,,,,,,,0.999999,,19,,,,,,,0.999999,,,,,,,,,,,0.999999,,0.0,,45,,,
,,,,,,,c4_sim4_pipeline,,,,,3,,,,,,,,2,,,0.95,,,,,,,,,,,0.0,0.0,,20,,,,,,,,,
