avg_hologram_diff_count,correction_boundary_rewrite_fraction,hologram_mode,hologram_missing_fraction,correction_used_second_pass,correction_rewrite_coverage_fraction,pipeline_success,avg_hologram_missing_to_diff_ratio,avg_hologram_threshold_gap_after_recovery,avg_correction_boundary_rewrite_fraction,avg_failed_oomphlap_retry_draw_minus_success_rate,correction_rewrite_recovery_delta,avg_oomphlap_final_bit_error_count,correction_boundary_selected_count,avg_correction_interior_selected_count,avg_hologram_largest_cluster_bbox_fraction,avg_correction_boundary_selected_count,second_pass_usage_rate,avg_first_pass_recovery_delta,avg_hologram_damage_cluster_count,oomphlap_verify_channel_failure_trigger_rate,avg_oomphlap_retry_targeted_success_rate,avg_correction_focus_strength,failure_reason_no_verify,claim,failure_count_verify_missed_hologram,failure_count_repair_backlog,failure_detail_full,no_verify_success_rate,avg_hologram_largest_cluster_share,hologram_severity_score,declared_ablation_count,avg_correction_boundary_candidate_count,avg_oomphlap_min_threshold_distance,threshold_crossing_recovery_rate,correction_focus_strength,avg_hologram_threshold_gap_closed_fraction,avg_correction_rewrite_coverage_fraction,avg_correction_boundary_rewrite_coverage_fraction,block_dropout_recovery_delta,avg_hologram_focus_interior_share,avg_hologram_missing_fraction,hologram_geometry_score,avg_rewrite_recovery_delta,distributed_dropout_success_rate,avg_correction_boundary_rewrite_capture_rate,oomphlap_verify_margin_trigger_rate,correction_boundary_candidate_count,oomphlap_failed_channel,hologram_largest_cluster_bbox_fraction,correction_interior_rewrite_coverage_fraction,oomphlap_verify_trigger_margin,graph_critical_ratio_pipeline,oomphlap_retry_draw_minus_success_rate,avg_hologram_focus_boundary_share,correction_rewrite_applied,hologram_threshold_gap_closed_fraction,correction_attempts_used,failure_count_verify_missed_oomphlap,avg_correction_interior_rewrite_fraction,focus_source_missing_rate,ssim_no_verify,avg_hologram_severity_score,oomphlap_retry_generic_strategy_rate,full_success_rate,hologram_focus_interior_share,oomphlap_verify_flag,uplift_vs_no_verify,avg_correction_interior_candidate_count,distributed_dropout_threshold_crossing_rate,rewrite_usage_rate,avg_correction_interior_rewrite_capture_rate,failure_count_partial_hologram_correction_failure,avg_oomphlap_initial_bit_error_count,oomphlap_retry_candidate_count,no_verify_success,avg_correction_rewrite_fraction,avg_hologram_missing_count,avg_correction_interior_rewrite_coverage_fraction,phase_noise_threshold_crossing_rate,min_success_rate,avg_hologram_geometry_score,oomphlap_channel_failure_stuck_high_rate,hologram_threshold_gap_before_recovery,avg_second_pass_recovery_delta,no_consolidate_bleach_success_rate,phase_noise_recovery_delta,corrupt_size,trial,hologram_largest_cluster_fill_ratio,oomphlap_retry_targeted_strategy_rate,no_correction_write_success_rate,oomphlap_channel_failure_random_rate,block_dropout_threshold_crossing_rate,ssim_no_consolidate_bleach,hologram_missing_to_diff_ratio,failure_count_oomphlap_retry_failed,oomphlap_retry_strategy,hologram_threshold_crossed_after_recovery,hologram_missing_count,avg_total_recovery_delta,oomphlap_retry_attempted,hologram_focus_boundary_share,oomphlap_retry_margin_strategy_rate,ssim_no_correction_write,oomphlap_verify_trigger_channel_failure,hologram_damage_fraction,modeled_ablation_count,failure_count_multi_stage,oomphlap_retry_attempt_rate,correction_interior_candidate_count,scenario_seed,oomphlap_retry_succeeded,ssim_pipeline,hologram_focus_source,all_ablations_modeled,oomphlap_verify_rate,failure_count_critical_node_backlog,no_consolidate_bleach_success,block_dropout_success_rate,avg_hologram_threshold_gap_before_recovery,oomphlap_channel_failure_none_rate,correction_best_stage,oomphlap_final_bit_error_count,oomphlap_channel_failure,avg_hologram_damage_fraction,phase_noise_success_rate,avg_correction_attempts_used,oomphlap_initial_bit_error_count,uplift_vs_modeled_ablations,graph_critical_ratio_no_consolidate_bleach,correction_interior_rewrite_capture_rate,correction_total_recovery_delta,oomphlap_retry_success_rate_given_attempt,oomphlap_retry_targeted_success_rate,failure_reason_full,correction_second_pass_recovery_delta,avg_failed_hologram_threshold_gap_after_recovery,hologram_threshold_gap_after_recovery,distributed_dropout_recovery_delta,oomphlap_min_threshold_distance,uplift_vs_no_correction_write,avg_oomphlap_retry_draw_minus_success_rate,correction_boundary_rewrite_capture_rate,correction_rewrite_fraction,hologram_damage_cluster_count,hologram_diff_count,correction_interior_rewrite_fraction,correction_boundary_rewrite_coverage_fraction,avg_hologram_largest_cluster_fill_ratio,no_correction_write_success,correction_first_pass_recovery_delta,n_trials,oomphlap_channel_failure_stuck_low_rate,pipeline_failure_rate,failure_reason_no_consolidate_bleach,failure_reason_no_correction_write,correction_interior_selected_count,uplift_vs_no_consolidate_bleach,hologram_largest_cluster_share
,0.337198,block_dropout,6.1e-05,1,0.921659,0,,,,,0.042251,,48,,,,,,,,,,multi_stage_failure,c4_sim4_pipeline,,,partial_hologram_correction_failure,,,0.175683,,,,,0.737024,,,,,,,0.775815,,,,,48,0,0.068481,0.847926,0,0.0,-0.128557,,1,0.236223,2,,,,0.109859,,,,0.884135,1,0.0,,,,,,,1,0,,,,,,,,0.840141,,,,40,0,0.503565,,,,,0.30832,0.001534,,targeted_channel_rewrite,0,1,,1,0.115865,,0.109859,1,0.039795,,,,552,42,1,0.30832,diff_mask,,,,0,,,,second_pass,0,random,,,,1,,0.153333,1.0,0.19846,,0.967015,partial_hologram_correction_failure,0.045207,,0.64168,,0.173591,0.0,,1.0,0.552303,38,652,1.0,0.073733,,0,0.111002,,,,multi_stage_failure,multi_stage_failure,552,0.0,0.866564
,0.097889,distributed_dropout,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,none,c4_sim4_pipeline,,,none,,,0.028778,,,,,0.157836,,,,,,,0.350746,,,,,0,0,0.000549,0.0,0,0.0,0.0,,0,0.0,0,,,,0.995669,,,,0.111111,1,0.0,,,,,,,0,1,,,,,,,,0.0,,,,31,1,1.0,,,,,0.995669,0.0,,none,0,0,,0,0.888889,,0.995669,1,0.004089,,,,0,43,0,0.995669,diff_mask,,,,0,,,,pre,0,stuck_high,,,,0,,0.133333,0.0,0.0,,0.0,none,0.0,,0.0,,0.097687,0.0,,0.0,0.171032,31,67,0.337323,0.0,,1,0.0,,,,graph_maintenance_disabled,none,0,1.0,0.134328
,0.061712,phase_noise,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,none,c4_sim4_pipeline,,,none,,,0.023759,,,,,0.076244,,,,,,,0.762444,,,,,0,-1,0.023193,0.0,0,0.0,0.0,,0,0.0,0,,,,0.999466,,,,0.805263,0,0.0,,,,,,,0,1,,,,,,,,0.0,,,,45,2,0.476316,,,,,0.999466,0.0,,none,0,0,,0,0.194737,,0.999466,0,0.012878,,,,0,44,0,0.999466,diff_mask,,,,0,,,,pre,0,none,,,,0,,0.113333,0.0,0.0,,0.0,none,0.0,,0.0,,0.144632,0.0,,0.0,0.146398,30,211,0.255547,0.0,,1,0.0,,,,graph_maintenance_disabled,none,0,1.0,0.85782
,0.062217,phase_noise,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,none,c4_sim4_pipeline,,,none,,,0.025788,,,,,0.083053,,,,,,,0.83053,,,,,0,1,0.023193,0.0,0,0.0,0.0,,0,0.0,0,,,,0.999493,,,,0.805263,1,0.0,,,,,,,0,1,,,,,,,,0.0,,,,42,3,0.510526,,,,,0.999493,0.0,,none,0,0,,0,0.194737,,0.999493,1,0.012634,,,,0,45,0,0.999493,diff_mask,,,,0,,,,pre,0,stuck_high,,,,0,,0.173333,0.0,0.0,,0.0,none,0.0,,0.0,,0.152444,0.0,,0.0,0.152718,13,207,0.262685,0.0,,1,0.0,,,,graph_maintenance_disabled,none,0,1.0,0.937198
,0.097572,distributed_dropout,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,none,c4_sim4_pipeline,,,none,,,0.028476,,,,,0.155893,,,,,,,0.346429,,,,,0,2,0.000549,0.0,0,0.0,0.0,,0,0.0,0,,,,0.984576,,,,0.111111,1,0.0,,,,,,,0,1,,,,,,,,0.0,,,,25,4,1.0,,,,,0.984576,0.0,,none,0,0,,0,0.888889,,0.984576,1,0.004272,,,,0,46,0,0.984576,diff_mask,,,,0,,,,pre,0,random,,,,0,,0.153333,0.0,0.0,,0.0,none,0.0,,0.0,,0.158907,0.0,,0.0,0.169898,21,70,0.335373,0.0,,1,0.0,,,,graph_maintenance_disabled,none,0,1.0,0.128571
,0.346955,block_dropout,6.1e-05,1,0.948122,0,,,,,0.271515,,48,,,,,,,,,,verify_disabled_hologram,c4_sim4_pipeline,,,partial_hologram_correction_failure,,,0.17801,,,,,0.757405,,,,,,,0.797268,,,,,48,0,0.063721,0.862254,0,0.0,0.0,,1,0.560829,2,,,,0.265653,,,,0.87931,1,0.0,,,,,,,0,0,,,,,,,,0.684347,,,,36,5,0.483716,,,,,0.649455,0.001786,,none,0,1,,0,0.12069,,0.265653,1,0.03418,,,,482,47,0,0.649455,diff_mask,,,,0,,,,second_pass,0,stuck_high,,,,0,,0.14,1.0,0.383802,,0.0,partial_hologram_correction_failure,0.073564,,0.300545,,0.115439,0.0,,1.0,0.571067,30,560,1.0,0.085868,,0,0.038723,,,,multi_stage_failure,correction_write_disabled_hologram,482,0.0,0.901786
,0.362035,block_dropout,6.1e-05,0,1.0,1,,,,,0.770917,,39,,,,,,,,,,multi_stage_failure,c4_sim4_pipeline,,,none,,,0.186604,,,,,0.788212,,,,,,,0.829697,,,,,39,1,0.070557,0.939722,0,0.0,-0.405568,,1,1.0,1,,,,0.044296,,,,0.885813,1,1.0,,,,,,,1,0,,,,,,,,0.905704,,,,34,6,0.522491,,,,,1.0,0.001543,,targeted_channel_rewrite,1,1,,1,0.114187,,0.044296,1,0.039551,,,,608,48,1,1.0,diff_mask,,,,0,,,,rewrite,0,stuck_low,,,,1,,0.153333,1.0,0.955704,,0.758206,none,0.0,,0.0,,0.169461,1.0,,1.0,0.600068,28,648,1.0,0.060278,,0,0.184787,,,,graph_maintenance_disabled,multi_stage_failure,608,1.0,0.932099
,0.233896,block_dropout,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,none,c4_sim4_pipeline,,,none,,,0.110214,,,,,0.492793,,,,,,,0.518729,,,,,0,2,0.017578,0.0,1,0.0,0.0,,0,0.0,0,,,,0.999925,,,,0.777778,1,0.0,,,,,,,0,1,,,,,,,,0.0,,,,46,7,0.475694,,,,,0.999925,0.0,,none,0,0,,0,0.222222,,0.999925,1,0.015686,,,,0,49,0,0.999925,diff_mask,,,,0,,,,pre,0,stuck_low,,,,0,,0.146667,0.0,0.0,,0.0,none,0.0,,0.0,,0.054319,0.0,,0.0,0.353646,55,257,0.897159,0.0,,1,0.0,,,,graph_maintenance_disabled,none,0,1.0,0.533074
,0.061617,phase_noise,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,verify_disabled_oomphlap,c4_sim4_pipeline,,,none,,,0.023332,,,,,0.074929,,,,,,,0.749291,,,,,0,1,0.024353,0.0,0,0.0,-0.179002,,0,0.0,0,,,,0.999585,,,,0.809524,1,1.0,,,,,,,1,0,,,,,,,,0.0,,,,42,8,0.423559,,,,,0.999585,0.0,,targeted_channel_rewrite,0,0,,1,0.190476,,0.999585,1,0.012024,,,,0,50,1,0.999585,diff_mask,,,,0,,,,pre,0,random,,,,1,,0.086667,0.0,0.0,,0.745572,none,0.0,,0.0,,0.151941,1.0,,0.0,0.145218,26,197,0.254209,0.0,,0,0.0,,,,graph_maintenance_disabled,correction_write_disabled_oomphlap,0,1.0,0.857868
,0.105,distributed_dropout,6.1e-05,1,0.274194,0,,,,,0.524084,,19,,,,,,,,,,multi_stage_failure,c4_sim4_pipeline,,,partial_hologram_correction_failure,,,0.04163,,,,,0.19879,,,,,,,0.441756,,,,,19,2,0.002197,0.120968,0,0.0,-0.534756,,1,0.669446,2,,,,0.09536,,,,0.444444,1,0.0,,,,,,,1,0,,,,,,,,0.85464,,,,49,9,0.944444,,,,,0.667495,0.008065,,targeted_channel_rewrite,0,1,,1,0.555556,,0.09536,1,0.007568,,,,15,51,1,0.667495,diff_mask,,,,0,,,,second_pass,0,random,,,,1,,0.146667,1.0,0.572136,,0.910082,partial_hologram_correction_failure,0.037258,,0.282505,,0.130208,0.0,,1.0,0.196428,34,124,0.37992,0.153226,,0,0.010794,,,,multi_stage_failure,multi_stage_failure,15,0.0,0.274194
,0.059703,phase_noise,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,none,c4_sim4_pipeline,,,none,,,0.013452,,,,,0.043958,,,,,,,0.439583,,,,,0,0,0.007324,0.0,0,0.0,0.0,,0,0.0,0,,,,0.999993,,,,0.666667,1,0.0,,,,,,,0,1,,,,,,,,0.0,,,,26,10,0.258333,,,,,0.999993,0.0,,none,0,0,,0,0.333333,,0.999993,1,0.003784,,,,0,52,0,0.999993,diff_mask,,,,0,,,,pre,0,stuck_high,,,,0,,0.093333,0.0,0.0,,0.0,none,0.0,,0.0,,0.124206,0.0,,0.0,0.121286,11,62,0.226561,0.0,,1,0.0,,,,graph_maintenance_disabled,none,0,1.0,0.5
,0.061602,phase_noise,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,verify_disabled_oomphlap,c4_sim4_pipeline,,,none,,,0.023312,,,,,0.074717,,,,,,,0.747166,,,,,0,-1,0.025513,0.0,1,0.0,-0.157165,,0,0.0,0,,,,0.999486,,,,0.813397,1,1.0,,,,,,,1,0,,,,,,,,0.0,,,,41,11,0.423445,,,,,0.999486,0.0,,margin_guard_rewrite,0,0,,1,0.186603,,0.999486,0,0.012634,,,,0,53,1,0.999486,diff_mask,,,,0,,,,pre,0,none,,,,1,,0.106667,0.0,0.0,,0.660527,none,0.0,,0.0,,0.043213,1.0,,0.0,0.145029,28,207,0.253995,0.0,,0,0.0,,,,graph_maintenance_disabled,correction_write_disabled_oomphlap,0,1.0,0.855072
,0.343356,block_dropout,6.1e-05,0,1.0,1,,,,,0.706946,,42,,,,,,,,,,verify_disabled_hologram,c4_sim4_pipeline,,,none,,,0.17088,,,,,0.74993,,,,,,,0.7894,,,,,42,-1,0.042847,0.860927,0,0.0,0.0,,1,1.0,1,,,,0.153067,,,,0.854701,0,1.0,,,,,,,0,0,,,,,,,,0.796933,,,,28,12,0.396011,,,,,1.0,0.003311,,none,1,1,,0,0.145299,,0.153067,0,0.018433,,,,260,54,0,1.0,diff_mask,,,,0,,,,rewrite,0,none,,,,0,,0.126667,1.0,0.846932,,0.0,none,0.0,,0.0,,0.056016,1.0,,1.0,0.564146,12,302,1.0,0.139073,,0,0.139987,,,,graph_maintenance_disabled,correction_write_disabled_hologram,260,1.0,0.92053
,0.061513,phase_noise,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,none,c4_sim4_pipeline,,,none,,,0.022521,,,,,0.073461,,,,,,,0.734612,,,,,0,0,0.017578,0.0,0,0.0,0.0,,0,0.0,0,,,,0.999957,,,,0.777778,1,0.0,,,,,,,0,1,,,,,,,,0.0,,,,42,13,0.302083,,,,,0.999957,0.0,,none,0,0,,0,0.222222,,0.999957,1,0.006042,,,,0,55,0,0.999957,diff_mask,,,,0,,,,pre,0,random,,,,0,,0.133333,0.0,0.0,,0.0,none,0.0,,0.0,,0.173704,0.0,,0.0,0.143917,11,99,0.252732,0.0,,1,0.0,,,,graph_maintenance_disabled,none,0,1.0,0.878788
,0.101382,distributed_dropout,0.0,0,0.0,0,,,,,0.0,,0,,,,,,,,,,verify_disabled_oomphlap,c4_sim4_pipeline,,,oomphlap_retry_failed,,,0.032288,,,,,0.178533,,,,,,,0.396739,,,,,0,0,0.000549,0.0,0,0.0,0.001364,,0,0.0,0,,,,0.985436,,,,0.111111,1,0.0,,,,,,,1,0,,,,,,,,0.0,,,,31,14,1.0,,,,,0.985436,0.0,,targeted_channel_rewrite,0,0,,1,0.888889,,0.985436,1,0.002808,,,,0,56,0,0.985436,diff_mask,,,,0,,,,pre,1,stuck_high,,,,1,,0.146667,0.0,0.0,,0.953394,oomphlap_retry_failed,0.0,,0.0,,0.062957,0.0,,0.0,0.183508,21,46,0.358491,0.0,,0,0.0,,,,multi_stage_failure,correction_write_disabled_oomphlap,0,0.0,0.195652
,0.322345,block_dropout,6.1e-05,0,0.892063,1,,,,,0.733928,,49,,,,,,,,,,multi_stage_failure,c4_sim4_pipeline,,,none,,,0.169008,,,,,0.705271,,,,,,,0.742391,,,,,49,1,0.072571,0.814286,0,0.0,-0.317256,,1,1.0,1,,,,0.266069,,,,0.885618,1,1.0,,,,,,,1,0,,,,,,,,0.683931,,,,45,15,0.445753,,,,,0.999997,0.001587,,targeted_channel_rewrite,1,1,,1,0.114382,,0.266069,1,0.038452,,,,513,57,1,0.999997,diff_mask,,,,0,,,,rewrite,0,stuck_high,,,,1,,0.166667,1.0,0.733928,,0.90901,none,0.0,,0.0,,0.123637,1.0,,1.0,0.523741,44,630,1.0,0.077778,,0,0.0,,,,graph_maintenance_disabled,multi_stage_failure,513,1.0,0.84127
,0.103148,distributed_dropout,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,none,c4_sim4_pipeline,,,none,,,0.034293,,,,,0.188556,,,,,,,0.419014,,,,,0,0,0.000977,0.0,0,0.0,0.0,,0,0.0,0,,,,0.995769,,,,0.25,1,0.0,,,,,,,0,1,,,,,,,,0.0,,,,37,16,1.0,,,,,0.995769,0.0,,none,0,0,,0,0.75,,0.995769,1,0.004333,,,,0,58,0,0.995769,diff_mask,,,,0,,,,pre,0,stuck_low,,,,0,,0.106667,0.0,0.0,,0.0,none,0.0,,0.0,,0.121477,0.0,,0.0,0.189813,34,71,0.369007,0.0,,1,0.0,,,,graph_maintenance_disabled,none,0,1.0,0.225352
,0.061732,phase_noise,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,verify_disabled_oomphlap,c4_sim4_pipeline,,,none,,,0.02354,,,,,0.076519,,,,,,,0.765191,,,,,0,1,0.019775,0.0,0,0.0,-0.014072,,0,0.0,0,,,,0.999948,,,,0.790123,1,1.0,,,,,,,1,0,,,,,,,,0.0,,,,43,17,0.348765,,,,,0.999948,0.0,,targeted_channel_rewrite,0,0,,1,0.209877,,0.999948,1,0.007629,,,,0,59,1,0.999948,diff_mask,,,,0,,,,pre,0,stuck_high,,,,1,,0.18,0.0,0.0,,0.995,none,0.0,,0.0,,0.141855,1.0,,0.0,0.146646,10,125,0.255828,0.0,,0,0.0,,,,graph_maintenance_disabled,correction_write_disabled_oomphlap,0,1.0,0.904
,0.190513,block_dropout,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,none,c4_sim4_pipeline,,,none,,,0.078129,,,,,0.367045,,,,,,,0.386364,,,,,0,0,0.000488,0.0,0,0.0,0.0,,0,0.0,0,,,,0.999999,,,,0.0,1,0.0,,,,,,,0,1,,,,,,,,0.0,,,,31,18,1.0,,,,,0.999999,0.0,,none,0,0,,0,1.0,,0.999999,1,0.002686,,,,0,60,0,0.999999,diff_mask,,,,0,,,,pre,0,stuck_low,,,,0,,0.193333,0.0,0.0,,0.0,none,0.0,,0.0,,0.150612,0.0,,0.0,0.270217,18,44,0.700558,0.0,,1,0.0,,,,graph_maintenance_disabled,none,0,1.0,0.181818
,0.094164,distributed_dropout,0.0,0,0.0,1,,,,,0.0,,0,,,,,,,,,,verify_disabled_oomphlap,c4_sim4_pipeline,,,none,,,0.025051,,,,,0.134289,,,,,,,0.298421,,,,,0,1,0.001526,0.0,0,0.0,-0.082308,,0,0.0,0,,,,0.999978,,,,0.36,1,1.0,,,,,,,1,0,,,,,,,,0.0,,,,43,19,0.72,,,,,0.999978,0.0,,targeted_channel_rewrite,0,0,,1,0.64,,0.999978,1,0.006958,,,,0,61,1,0.999978,diff_mask,,,,0,,,,pre,0,stuck_low,,,,1,,0.146667,0.0,0.0,,0.96586,none,0.0,,0.0,,0.145168,1.0,,0.0,0.15773,34,114,0.314132,0.0,,0,0.0,,,,graph_maintenance_disabled,correction_write_disabled_oomphlap,0,1.0,0.157895
234.65,,,,,,,0.000891,0.061237,0.158277,0.001364,,0.05,,121.5,0.024176,12.25,0.15,0.024265,26.45,0.85,0.393233,0.305723,,c4_sim4_pipeline,0,0,,0.45,0.604194,,3,12.25,0.124574,0.15,,0.223325,0.251802,0.029498,0.445547,0.601157,1.8e-05,,0.152482,0.666667,0.3,0.1,,,,,,,,0.398843,,,,0,0.522676,0.0,,0.070737,0.0,0.8,,,0.35,121.5,0.0,0.3,0.3,3,0.45,,,0.27524,0.3,0.222304,0.0,0.8,0.606079,0.35,,0.007801,0.0,0.0,,,,0.4,0.45,0.25,0.428571,,,1,,,,0.184548,,,0.05,,,,3,0,0.45,,,,,,1.0,0.9,0,,0.714286,0.238285,0.15,,,,0.014322,1.0,0.45,,0.35,,,,0.888889,,,,0.408243,,0.095356,,0.35,-0.090866,,,,,,,0.611735,,,20,0.25,0.2,,,,0.8,
