no_consolidate_bleach_success,avg_oomphlap_retry_targeted_success_rate,avg_failed_hologram_threshold_gap_after_recovery,correction_rewrite_coverage_fraction,ssim_no_correction_write,correction_boundary_selected_count,no_correction_write_success,oomphlap_retry_targeted_success_rate,avg_failed_oomphlap_retry_draw_minus_success_rate,failure_count_critical_node_backlog,failure_reason_no_correction_write,corrupt_size,failure_count_verify_missed_hologram,avg_correction_spillover_selected_count,ssim_no_verify,oomphlap_min_threshold_distance,min_success_rate,correction_interior_rewrite_fraction,oomphlap_failed_channel,pipeline_failure_rate,avg_total_recovery_delta,distributed_dropout_threshold_crossing_rate,correction_spillover_selected_count,n_trials,block_dropout_threshold_crossing_rate,graph_critical_ratio_pipeline,avg_correction_attempts_used,hologram_mode,avg_hologram_diff_count,oomphlap_retry_targeted_strategy_rate,full_success_rate,failure_count_repair_backlog,correction_spillover_capture_rate,no_verify_success_rate,correction_boundary_candidate_count,failure_reason_full,distributed_dropout_recovery_delta,oomphlap_retry_generic_strategy_rate,avg_correction_interior_candidate_count,correction_spillover_fraction,correction_boundary_rewrite_capture_rate,correction_second_pass_recovery_delta,hologram_threshold_gap_closed_fraction,failure_count_verify_missed_oomphlap,threshold_crossing_recovery_rate,hologram_geometry_score,avg_correction_interior_rewrite_coverage_fraction,correction_spillover_recovery_delta,avg_oomphlap_min_threshold_distance,correction_rewrite_fraction,pipeline_success,avg_correction_boundary_rewrite_fraction,oomphlap_verify_margin_trigger_rate,failure_count_multi_stage,correction_interior_rewrite_coverage_fraction,avg_correction_boundary_selected_count,oomphlap_channel_failure_stuck_low_rate,oomphlap_channel_failure_random_rate,modeled_ablation_count,failure_reason_no_verify,correction_rewrite_applied,spillover_usage_rate,avg_correction_spillover_candidate_count,avg_first_pass_recovery_delta,oomphlap_initial_bit_error_count,second_pass_usage_rate,oomphlap_retry_attempted,correction_focus_strength,avg_correction_rewrite_fraction,oomphlap_retry_succeeded,oomphlap_verify_trigger_margin,avg_oomphlap_final_bit_error_count,oomphlap_channel_failure_none_rate,avg_correction_interior_rewrite_fraction,hologram_threshold_gap_after_recovery,uplift_vs_modeled_ablations,correction_boundary_rewrite_fraction,correction_boundary_rewrite_coverage_fraction,oomphlap_verify_flag,trial,correction_spillover_candidate_count,correction_rewrite_recovery_delta,avg_correction_spillover_fraction,correction_spillover_polish_applied,oomphlap_final_bit_error_count,hologram_largest_cluster_fill_ratio,oomphlap_verify_rate,hologram_damage_fraction,hologram_missing_count,avg_hologram_missing_to_diff_ratio,avg_oomphlap_retry_draw_minus_success_rate,distributed_dropout_success_rate,avg_correction_boundary_candidate_count,ssim_no_consolidate_bleach,avg_hologram_focus_boundary_share,rewrite_usage_rate,avg_hologram_focus_interior_share,oomphlap_retry_attempt_rate,declared_ablation_count,block_dropout_recovery_delta,oomphlap_verify_trigger_channel_failure,hologram_focus_boundary_share,hologram_threshold_gap_before_recovery,correction_first_pass_recovery_delta,correction_spillover_coverage_fraction,scenario_seed,avg_oomphlap_initial_bit_error_count,ssim_pipeline,oomphlap_retry_draw_minus_success_rate,all_ablations_modeled,correction_used_second_pass,avg_hologram_largest_cluster_fill_ratio,oomphlap_retry_margin_strategy_rate,avg_correction_spillover_capture_rate,failure_count_oomphlap_retry_failed,avg_hologram_damage_cluster_count,no_correction_write_success_rate,claim,correction_attempts_used,avg_rewrite_recovery_delta,avg_hologram_threshold_gap_before_recovery,oomphlap_verify_channel_failure_trigger_rate,hologram_threshold_crossed_after_recovery,correction_interior_selected_count,avg_correction_rewrite_coverage_fraction,hologram_damage_cluster_count,correction_interior_rewrite_capture_rate,avg_correction_interior_selected_count,uplift_vs_no_verify,uplift_vs_no_consolidate_bleach,failure_detail_full,no_verify_success,oomphlap_retry_strategy,phase_noise_recovery_delta,correction_interior_candidate_count,phase_noise_threshold_crossing_rate,oomphlap_channel_failure_stuck_high_rate,hologram_focus_interior_share,hologram_missing_fraction,avg_correction_boundary_rewrite_capture_rate,hologram_severity_score,avg_second_pass_recovery_delta,avg_hologram_severity_score,hologram_missing_to_diff_ratio,avg_hologram_threshold_gap_closed_fraction,failure_count_partial_hologram_correction_failure,avg_hologram_missing_fraction,avg_hologram_largest_cluster_bbox_fraction,avg_correction_focus_strength,hologram_focus_source,oomphlap_retry_success_rate_given_attempt,avg_correction_boundary_rewrite_coverage_fraction,hologram_largest_cluster_bbox_fraction,oomphlap_channel_failure,avg_hologram_damage_fraction,avg_correction_interior_rewrite_capture_rate,avg_spillover_recovery_delta,avg_correction_spillover_coverage_fraction,avg_hologram_threshold_gap_after_recovery,correction_best_stage,hologram_diff_count,correction_total_recovery_delta,oomphlap_retry_candidate_count,block_dropout_success_rate,focus_source_missing_rate,uplift_vs_no_correction_write,failure_reason_no_consolidate_bleach,phase_noise_success_rate,avg_hologram_geometry_score,graph_critical_ratio_no_consolidate_bleach,hologram_largest_cluster_share,no_consolidate_bleach_success_rate,avg_hologram_missing_count,avg_hologram_largest_cluster_share
0,,,0.921659,0.109859,48,0,0.967015,,,multi_stage_failure,40,,,0.109859,0.173591,,1.0,0,,,,24,,,0.0,,block_dropout,,,,,0.470588,,48,none,,,,0.43195,1.0,0.045207,1.0,,,0.775815,,0.691679,,0.552303,1,,,,0.847926,,,,,multi_stage_failure,1,,,,1,,1,0.737024,,1,0,,,,0.0,,0.337198,0.073733,1,0,51,0.042251,,1,0,0.503565,,0.039795,1,,,,,0.999999,,,,,,,1,0.115865,0.840141,0.111002,0.470588,42,,0.999999,-0.128557,,1,,,,,,,c4_sim4_pipeline,2,,,,1,552,,38,1.0,,1.0,1.0,none,0,targeted_channel_rewrite,,552,,,0.884135,6.1e-05,,0.175683,,,0.001534,,,,,,diff_mask,,,0.068481,random,,,,,,spillover_polish,652,0.89014,1,,,1.0,graph_maintenance_disabled,,,0.153333,0.866564,,,
0,,,0.0,0.995669,0,1,0.0,,,none,31,,,0.995669,0.097687,,0.337323,0,,,,0,,,0.0,,distributed_dropout,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.350746,,0.0,,0.171032,1,,,,0.0,,,,,none,0,,,,0,,0,0.157836,,0,0,,,,0.0,,0.097889,0.0,1,1,0,0.0,,0,0,1.0,,0.004089,0,,,,,0.995669,,,,,,,1,0.888889,0.0,0.0,0.0,43,,0.995669,0.0,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,31,0.0,,0.0,1.0,none,1,none,,0,,,0.111111,0.0,,0.028778,,,0.0,,,,,,diff_mask,,,0.000549,stuck_high,,,,,,pre,67,0.0,0,,,0.0,graph_maintenance_disabled,,,0.133333,0.134328,,,
0,,,0.0,0.999466,0,1,0.0,,,none,45,,,0.999466,0.144632,,0.255547,-1,,,,0,,,0.0,,phase_noise,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.762444,,0.0,,0.146398,1,,,,0.0,,,,,none,0,,,,0,,0,0.076244,,0,0,,,,0.0,,0.061712,0.0,0,2,0,0.0,,0,0,0.476316,,0.012878,0,,,,,0.999466,,,,,,,0,0.194737,0.0,0.0,0.0,44,,0.999466,0.0,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,30,0.0,,0.0,1.0,none,1,none,,0,,,0.805263,0.0,,0.023759,,,0.0,,,,,,diff_mask,,,0.023193,none,,,,,,pre,211,0.0,0,,,0.0,graph_maintenance_disabled,,,0.113333,0.85782,,,
0,,,0.0,0.999493,0,1,0.0,,,none,42,,,0.999493,0.152444,,0.262685,1,,,,0,,,0.0,,phase_noise,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.83053,,0.0,,0.152718,1,,,,0.0,,,,,none,0,,,,0,,0,0.083053,,0,0,,,,0.0,,0.062217,0.0,1,3,0,0.0,,0,0,0.510526,,0.012634,0,,,,,0.999493,,,,,,,1,0.194737,0.0,0.0,0.0,45,,0.999493,0.0,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,13,0.0,,0.0,1.0,none,1,none,,0,,,0.805263,0.0,,0.025788,,,0.0,,,,,,diff_mask,,,0.023193,stuck_high,,,,,,pre,207,0.0,0,,,0.0,graph_maintenance_disabled,,,0.173333,0.937198,,,
0,,,0.0,0.984576,0,1,0.0,,,none,25,,,0.984576,0.158907,,0.335373,2,,,,0,,,0.0,,distributed_dropout,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.346429,,0.0,,0.169898,1,,,,0.0,,,,,none,0,,,,0,,0,0.155893,,0,0,,,,0.0,,0.097572,0.0,1,4,0,0.0,,0,0,1.0,,0.004272,0,,,,,0.984576,,,,,,,1,0.888889,0.0,0.0,0.0,46,,0.984576,0.0,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,21,0.0,,0.0,1.0,none,1,none,,0,,,0.111111,0.0,,0.028476,,,0.0,,,,,,diff_mask,,,0.000549,random,,,,,,pre,70,0.0,0,,,0.0,graph_maintenance_disabled,,,0.153333,0.128571,,,
0,,,0.948122,0.265653,48,0,0.0,,,correction_write_disabled_hologram,36,,,0.265653,0.115439,,1.0,0,,,,24,,,0.0,,block_dropout,,,,,0.827586,,48,none,,,,0.326553,1.0,0.073564,1.0,,,0.797268,,0.350545,,0.571067,1,,,,0.862254,,,,,verify_disabled_hologram,1,,,,0,,0,0.757405,,0,0,,,,0.0,,0.346955,0.085868,1,5,29,0.271515,,1,0,0.483716,,0.03418,1,,,,,1.0,,,,,,,1,0.12069,0.684347,0.038723,0.827586,47,,1.0,0.0,,1,,,,,,,c4_sim4_pipeline,2,,,,1,482,,30,1.0,,1.0,1.0,none,0,none,,482,,,0.87931,6.1e-05,,0.17801,,,0.001786,,,,,,diff_mask,,,0.063721,stuck_high,,,,,,spillover_polish,560,0.734347,0,,,1.0,graph_maintenance_disabled,,,0.14,0.901786,,,
0,,,1.0,0.044296,39,0,0.758206,,,multi_stage_failure,34,,,0.044296,0.169461,,1.0,1,,,,0,,,0.0,,block_dropout,,,,,0.0,,39,none,,,,0.0,1.0,0.0,1.0,,,0.829697,,0.0,,0.600068,1,,,,0.939722,,,,,multi_stage_failure,1,,,,1,,1,0.788212,,1,0,,,,0.0,,0.362035,0.060278,1,6,0,0.770917,,0,0,0.522491,,0.039551,1,,,,,1.0,,,,,,,1,0.114187,0.905704,0.184787,0.0,48,,1.0,-0.405568,,0,,,,,,,c4_sim4_pipeline,1,,,,1,608,,28,1.0,,1.0,1.0,none,0,targeted_channel_rewrite,,608,,,0.885813,6.1e-05,,0.186604,,,0.001543,,,,,,diff_mask,,,0.070557,stuck_low,,,,,,rewrite,648,0.955704,1,,,1.0,graph_maintenance_disabled,,,0.153333,0.932099,,,
0,,,0.0,0.999925,0,1,0.0,,,none,46,,,0.999925,0.054319,,0.897159,2,,,,0,,,0.0,,block_dropout,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.518729,,0.0,,0.353646,1,,,,0.0,,,,,none,0,,,,0,,0,0.492793,,0,1,,,,0.0,,0.233896,0.0,1,7,0,0.0,,0,0,0.475694,,0.015686,0,,,,,0.999925,,,,,,,1,0.222222,0.0,0.0,0.0,49,,0.999925,0.0,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,55,0.0,,0.0,1.0,none,1,none,,0,,,0.777778,0.0,,0.110214,,,0.0,,,,,,diff_mask,,,0.017578,stuck_low,,,,,,pre,257,0.0,0,,,0.0,graph_maintenance_disabled,,,0.146667,0.533074,,,
0,,,0.0,0.999585,0,0,0.745572,,,correction_write_disabled_oomphlap,42,,,0.999585,0.151941,,0.254209,1,,,,0,,,0.0,,phase_noise,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.749291,,0.0,,0.145218,1,,,,0.0,,,,,verify_disabled_oomphlap,0,,,,1,,1,0.074929,,1,0,,,,0.0,,0.061617,0.0,1,8,0,0.0,,0,0,0.423559,,0.012024,0,,,,,0.999585,,,,,,,1,0.190476,0.0,0.0,0.0,50,,0.999585,-0.179002,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,26,0.0,,1.0,1.0,none,0,targeted_channel_rewrite,,0,,,0.809524,0.0,,0.023332,,,0.0,,,,,,diff_mask,,,0.024353,random,,,,,,pre,197,0.0,1,,,1.0,graph_maintenance_disabled,,,0.086667,0.857868,,,
0,,,0.274194,0.09536,19,0,0.910082,,,multi_stage_failure,49,,,0.09536,0.130208,,0.37992,2,,,,37,,,0.0,,distributed_dropout,,,,,0.411111,,19,none,,,,0.404933,1.0,0.037258,1.0,,,0.441756,,0.330447,,0.196428,1,,,,0.120968,,,,,multi_stage_failure,1,,,,1,,1,0.19879,,1,0,,,,0.0,,0.105,0.153226,1,9,90,0.524084,,1,0,0.944444,,0.007568,1,,,,,0.997942,,,,,,,1,0.555556,0.85464,0.010794,0.411111,51,,0.997942,-0.534756,,1,,,,,,,c4_sim4_pipeline,2,,,,1,15,,34,1.0,,1.0,1.0,none,0,targeted_channel_rewrite,,15,,,0.444444,6.1e-05,,0.04163,,,0.008065,,,,,,diff_mask,,,0.002197,random,,,,,,spillover_polish,124,0.902582,1,,,1.0,graph_maintenance_disabled,,,0.146667,0.274194,,,
0,,,0.0,0.999993,0,1,0.0,,,none,26,,,0.999993,0.124206,,0.226561,0,,,,0,,,0.0,,phase_noise,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.439583,,0.0,,0.121286,1,,,,0.0,,,,,none,0,,,,0,,0,0.043958,,0,0,,,,0.0,,0.059703,0.0,1,10,0,0.0,,0,0,0.258333,,0.003784,0,,,,,0.999993,,,,,,,1,0.333333,0.0,0.0,0.0,52,,0.999993,0.0,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,11,0.0,,0.0,1.0,none,1,none,,0,,,0.666667,0.0,,0.013452,,,0.0,,,,,,diff_mask,,,0.007324,stuck_high,,,,,,pre,62,0.0,0,,,0.0,graph_maintenance_disabled,,,0.093333,0.5,,,
0,,,0.0,0.999486,0,0,0.660527,,,correction_write_disabled_oomphlap,41,,,0.999486,0.043213,,0.253995,-1,,,,0,,,0.0,,phase_noise,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.747166,,0.0,,0.145029,1,,,,0.0,,,,,verify_disabled_oomphlap,0,,,,1,,1,0.074717,,1,1,,,,0.0,,0.061602,0.0,1,11,0,0.0,,0,0,0.423445,,0.012634,0,,,,,0.999486,,,,,,,0,0.186603,0.0,0.0,0.0,53,,0.999486,-0.157165,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,28,0.0,,1.0,1.0,none,0,margin_guard_rewrite,,0,,,0.813397,0.0,,0.023312,,,0.0,,,,,,diff_mask,,,0.025513,none,,,,,,pre,207,0.0,1,,,1.0,graph_maintenance_disabled,,,0.106667,0.855072,,,
0,,,1.0,0.153067,42,0,0.0,,,correction_write_disabled_hologram,28,,,0.153067,0.056016,,1.0,-1,,,,0,,,0.0,,block_dropout,,,,,0.0,,42,none,,,,0.0,1.0,0.0,1.0,,,0.7894,,0.0,,0.564146,1,,,,0.860927,,,,,verify_disabled_hologram,1,,,,0,,0,0.74993,,0,0,,,,0.0,,0.343356,0.139073,0,12,0,0.706946,,0,0,0.396011,,0.018433,1,,,,,1.0,,,,,,,0,0.145299,0.796933,0.139987,0.0,54,,1.0,0.0,,0,,,,,,,c4_sim4_pipeline,1,,,,1,260,,12,1.0,,1.0,1.0,none,0,none,,260,,,0.854701,6.1e-05,,0.17088,,,0.003311,,,,,,diff_mask,,,0.042847,none,,,,,,rewrite,302,0.846932,0,,,1.0,graph_maintenance_disabled,,,0.126667,0.92053,,,
0,,,0.0,0.999957,0,1,0.0,,,none,42,,,0.999957,0.173704,,0.252732,0,,,,0,,,0.0,,phase_noise,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.734612,,0.0,,0.143917,1,,,,0.0,,,,,none,0,,,,0,,0,0.073461,,0,0,,,,0.0,,0.061513,0.0,1,13,0,0.0,,0,0,0.302083,,0.006042,0,,,,,0.999957,,,,,,,1,0.222222,0.0,0.0,0.0,55,,0.999957,0.0,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,11,0.0,,0.0,1.0,none,1,none,,0,,,0.777778,0.0,,0.022521,,,0.0,,,,,,diff_mask,,,0.017578,random,,,,,,pre,99,0.0,0,,,0.0,graph_maintenance_disabled,,,0.133333,0.878788,,,
0,,,0.0,0.985436,0,0,0.953394,,,correction_write_disabled_oomphlap,31,,,0.985436,0.062957,,0.358491,0,,,,0,,,0.0,,distributed_dropout,,,,,0.0,,0,oomphlap_retry_failed,,,,0.0,0.0,0.0,0.0,,,0.396739,,0.0,,0.183508,0,,,,0.0,,,,,verify_disabled_oomphlap,0,,,,1,,1,0.178533,,0,0,,,,0.0,,0.101382,0.0,1,14,0,0.0,,0,1,1.0,,0.002808,0,,,,,0.985436,,,,,,,1,0.888889,0.0,0.0,0.0,56,,0.985436,0.001364,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,21,0.0,,0.0,0.0,oomphlap_retry_failed,0,targeted_channel_rewrite,,0,,,0.111111,0.0,,0.032288,,,0.0,,,,,,diff_mask,,,0.000549,stuck_high,,,,,,pre,46,0.0,1,,,0.0,multi_stage_failure,,,0.146667,0.195652,,,
0,,,0.892063,0.266069,49,0,0.90901,,,multi_stage_failure,45,,,0.266069,0.123637,,1.0,1,,,,0,,,0.0,,block_dropout,,,,,0.0,,49,none,,,,0.0,1.0,0.0,1.0,,,0.742391,,0.0,,0.523741,1,,,,0.814286,,,,,multi_stage_failure,1,,,,1,,1,0.705271,,1,0,,,,0.0,,0.322345,0.077778,1,15,0,0.733928,,0,0,0.445753,,0.038452,1,,,,,0.999997,,,,,,,1,0.114382,0.683931,0.0,0.0,57,,0.999997,-0.317256,,0,,,,,,,c4_sim4_pipeline,1,,,,1,513,,44,1.0,,1.0,1.0,none,0,targeted_channel_rewrite,,513,,,0.885618,6.1e-05,,0.169008,,,0.001587,,,,,,diff_mask,,,0.072571,stuck_high,,,,,,rewrite,630,0.733928,1,,,1.0,graph_maintenance_disabled,,,0.166667,0.84127,,,
0,,,0.0,0.995769,0,1,0.0,,,none,37,,,0.995769,0.121477,,0.369007,0,,,,0,,,0.0,,distributed_dropout,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.419014,,0.0,,0.189813,1,,,,0.0,,,,,none,0,,,,0,,0,0.188556,,0,0,,,,0.0,,0.103148,0.0,1,16,0,0.0,,0,0,1.0,,0.004333,0,,,,,0.995769,,,,,,,1,0.75,0.0,0.0,0.0,58,,0.995769,0.0,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,34,0.0,,0.0,1.0,none,1,none,,0,,,0.25,0.0,,0.034293,,,0.0,,,,,,diff_mask,,,0.000977,stuck_low,,,,,,pre,71,0.0,0,,,0.0,graph_maintenance_disabled,,,0.106667,0.225352,,,
0,,,0.0,0.999948,0,0,0.995,,,correction_write_disabled_oomphlap,43,,,0.999948,0.141855,,0.255828,1,,,,0,,,0.0,,phase_noise,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.765191,,0.0,,0.146646,1,,,,0.0,,,,,verify_disabled_oomphlap,0,,,,1,,1,0.076519,,1,0,,,,0.0,,0.061732,0.0,1,17,0,0.0,,0,0,0.348765,,0.007629,0,,,,,0.999948,,,,,,,1,0.209877,0.0,0.0,0.0,59,,0.999948,-0.014072,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,10,0.0,,1.0,1.0,none,0,targeted_channel_rewrite,,0,,,0.790123,0.0,,0.02354,,,0.0,,,,,,diff_mask,,,0.019775,stuck_high,,,,,,pre,125,0.0,1,,,1.0,graph_maintenance_disabled,,,0.18,0.904,,,
0,,,0.0,0.999999,0,1,0.0,,,none,31,,,0.999999,0.150612,,0.700558,0,,,,0,,,0.0,,block_dropout,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.386364,,0.0,,0.270217,1,,,,0.0,,,,,none,0,,,,0,,0,0.367045,,0,0,,,,0.0,,0.190513,0.0,1,18,0,0.0,,0,0,1.0,,0.002686,0,,,,,0.999999,,,,,,,1,1.0,0.0,0.0,0.0,60,,0.999999,0.0,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,18,0.0,,0.0,1.0,none,1,none,,0,,,0.0,0.0,,0.078129,,,0.0,,,,,,diff_mask,,,0.000488,stuck_low,,,,,,pre,44,0.0,0,,,0.0,graph_maintenance_disabled,,,0.193333,0.181818,,,
0,,,0.0,0.999978,0,0,0.96586,,,correction_write_disabled_oomphlap,43,,,0.999978,0.145168,,0.314132,1,,,,0,,,0.0,,distributed_dropout,,,,,0.0,,0,none,,,,0.0,0.0,0.0,0.0,,,0.298421,,0.0,,0.15773,1,,,,0.0,,,,,verify_disabled_oomphlap,0,,,,1,,1,0.134289,,1,0,,,,0.0,,0.094164,0.0,1,19,0,0.0,,0,0,0.72,,0.006958,0,,,,,0.999978,,,,,,,1,0.64,0.0,0.0,0.0,61,,0.999978,-0.082308,,0,,,,,,,c4_sim4_pipeline,0,,,,0,0,,34,0.0,,1.0,1.0,none,0,targeted_channel_rewrite,,0,,,0.36,0.0,,0.025051,,,0.0,,,,,,diff_mask,,,0.001526,stuck_low,,,,,,pre,114,0.0,1,,,1.0,graph_maintenance_disabled,,,0.146667,0.157895,,,
,0.393233,0.0,,,,,,0.001364,0,,,0,4.25,,,0.95,,,0.05,0.253182,0.166667,,20,0.714286,,0.45,,234.65,0.4,0.95,0,,0.45,,,0.15043,0.0,121.5,,,,,0,0.3,,0.222304,,0.124574,,,0.158277,0.1,0,,12.25,0.25,0.25,3,,,0.15,8.5,0.024265,,0.15,,,0.27524,,,0.05,0.15,0.522676,,0.5,,,,,,,0.058172,,,,0.9,,,0.000891,-0.090866,0.833333,12.25,,0.398843,0.3,0.601157,0.45,3,0.594436,,,,,,,0.45,,,1.0,,0.611735,0.05,0.085464,1,26.45,0.45,c4_sim4_pipeline,,0.152482,0.238285,0.85,,,0.251802,,,121.5,0.5,0.95,,,,0.0,,0.0,0.35,,,0.3,,0.007801,0.070737,,0.3,0,1.8e-05,0.024176,0.305723,,0.888889,0.029498,,,0.014322,0.3,0.068634,0.085464,0.0,,,,,1.0,0.0,0.5,,1.0,0.606079,,,0.0,0.3,0.604194
