uplift_vs_no_correction_write,avg_correction_attempts_used,avg_first_pass_recovery_delta,failure_count_multi_stage,second_pass_usage_rate,claim,avg_second_pass_recovery_delta,no_consolidate_bleach_success_rate,hologram_damage_fraction,min_success_rate,block_dropout_success_rate,pipeline_success,no_correction_write_success_rate,avg_hologram_largest_cluster_share,no_verify_success,distributed_dropout_success_rate,failure_count_verify_missed_oomphlap,uplift_vs_no_verify,avg_hologram_largest_cluster_fill_ratio,phase_noise_success_rate,failure_reason_no_consolidate_bleach,avg_hologram_largest_cluster_bbox_fraction,failure_count_critical_node_backlog,failure_detail_full,trial,n_trials,hologram_largest_cluster_bbox_fraction,failure_count_repair_backlog,ssim_pipeline,hologram_largest_cluster_share,hologram_largest_cluster_fill_ratio,avg_hologram_damage_cluster_count,no_consolidate_bleach_success,distributed_dropout_recovery_delta,hologram_damage_cluster_count,modeled_ablation_count,correction_used_second_pass,block_dropout_recovery_delta,corrupt_size,hologram_missing_fraction,correction_attempts_used,avg_hologram_severity_score,avg_hologram_geometry_score,correction_second_pass_recovery_delta,no_verify_success_rate,full_success_rate,correction_total_recovery_delta,avg_correction_focus_strength,uplift_vs_no_consolidate_bleach,all_ablations_modeled,pipeline_failure_rate,correction_focus_strength,hologram_mode,graph_critical_ratio_pipeline,phase_noise_recovery_delta,failure_count_oomphlap_retry_failed,correction_first_pass_recovery_delta,failure_reason_no_correction_write,declared_ablation_count,hologram_severity_score,failure_reason_no_verify,ssim_no_verify,ssim_no_consolidate_bleach,avg_total_recovery_delta,failure_count_partial_hologram_correction_failure,ssim_no_correction_write,avg_hologram_missing_fraction,failure_reason_full,avg_hologram_damage_fraction,failure_count_verify_missed_hologram,graph_critical_ratio_no_consolidate_bleach,no_correction_write_success,scenario_seed,hologram_geometry_score,uplift_vs_modeled_ablations
0.0,,,,,c4_sim4_pipeline,,,0.039795,,,0,,,0,,,0.0,,,multi_stage_failure,,,"partial_hologram_correction_failure,oomphlap_retry_failed",0,,6.1e-05,,0.224231,1.0,1.0,,0,,1,,1,,40,6.1e-05,2,,,0.014338,,,0.114372,,0.0,,,0.95,block_dropout,0.0,,,0.100034,multi_stage_failure,,0.213678,multi_stage_failure,0.109859,0.224231,,,0.109859,,multi_stage_failure,,,0.153333,0,42,1.0,
0.0,,,,,c4_sim4_pipeline,,,0.004089,,,1,,,1,,,0.0,,,graph_maintenance_disabled,,,none,1,,0.000549,,0.995669,0.134328,1.0,,0,,31,,0,,31,0.0,0,,,0.0,,,0.0,,1.0,,,0.157836,distributed_dropout,0.0,,,0.0,none,,0.028778,none,0.995669,0.995669,,,0.995669,,none,,,0.133333,1,43,0.350746,
0.0,,,,,c4_sim4_pipeline,,,0.012878,,,1,,,1,,,0.0,,,graph_maintenance_disabled,,,none,2,,0.023193,,0.999466,0.85782,0.476316,,0,,30,,0,,45,0.0,0,,,0.0,,,0.0,,1.0,,,0.076244,phase_noise,0.0,,,0.0,none,,0.023759,none,0.999466,0.999466,,,0.999466,,none,,,0.113333,1,44,0.762444,
0.0,,,,,c4_sim4_pipeline,,,0.012634,,,1,,,1,,,0.0,,,graph_maintenance_disabled,,,none,3,,0.023193,,0.999493,0.937198,0.510526,,0,,13,,0,,42,0.0,0,,,0.0,,,0.0,,1.0,,,0.083053,phase_noise,0.0,,,0.0,none,,0.025788,none,0.999493,0.999493,,,0.999493,,none,,,0.173333,1,45,0.83053,
0.0,,,,,c4_sim4_pipeline,,,0.004272,,,1,,,1,,,0.0,,,graph_maintenance_disabled,,,none,4,,0.000549,,0.984576,0.128571,1.0,,0,,21,,0,,25,0.0,0,,,0.0,,,0.0,,1.0,,,0.155893,distributed_dropout,0.0,,,0.0,none,,0.028476,none,0.984576,0.984576,,,0.984576,,none,,,0.153333,1,46,0.346429,
0.0,,,,,c4_sim4_pipeline,,,0.03418,,,0,,,0,,,0.0,,,multi_stage_failure,,,partial_hologram_correction_failure,5,,6.1e-05,,0.306681,1.0,1.0,,0,,1,,1,,36,6.1e-05,2,,,0.029917,,,0.041028,,0.0,,,0.95,block_dropout,0.0,,,0.011112,correction_write_disabled_hologram,,0.21219,verify_disabled_hologram,0.265653,0.306681,,,0.265653,,partial_hologram_correction_failure,,,0.14,0,47,1.0,
0.0,,,,,c4_sim4_pipeline,,,0.039551,,,0,,,0,,,0.0,,,multi_stage_failure,,,partial_hologram_correction_failure,6,,6.1e-05,,0.269544,1.0,1.0,,0,,1,,1,,34,6.1e-05,2,,,0.134937,,,0.225248,,0.0,,,0.95,block_dropout,0.0,,,0.090311,multi_stage_failure,,0.213615,multi_stage_failure,0.044296,0.269544,,,0.044296,,partial_hologram_correction_failure,,,0.153333,0,48,1.0,
0.0,,,,,c4_sim4_pipeline,,,0.015686,,,1,,,1,,,0.0,,,graph_maintenance_disabled,,,none,7,,0.017578,,0.999925,0.533074,0.475694,,0,,55,,0,,46,0.0,0,,,0.0,,,0.0,,1.0,,,0.492793,block_dropout,0.0,,,0.0,none,,0.110214,none,0.999925,0.999925,,,0.999925,,none,,,0.146667,1,49,0.518729,
1.0,,,,,c4_sim4_pipeline,,,0.012024,,,1,,,0,,,1.0,,,graph_maintenance_disabled,,,none,8,,0.024353,,0.999585,0.857868,0.423559,,0,,26,,0,,42,0.0,0,,,0.0,,,0.0,,1.0,,,0.074929,phase_noise,0.0,,,0.0,correction_write_disabled_oomphlap,,0.023332,verify_disabled_oomphlap,0.999585,0.999585,,,0.999585,,none,,,0.086667,0,50,0.749291,
0.0,,,,,c4_sim4_pipeline,,,0.007568,,,0,,,0,,,0.0,,,multi_stage_failure,,,partial_hologram_correction_failure,9,,6.1e-05,,0.647622,1.0,1.0,,0,,1,,1,,49,6.1e-05,2,,,0.540448,,,0.552263,,0.0,,,0.45,distributed_dropout,0.0,,,0.011815,multi_stage_failure,,0.086204,multi_stage_failure,0.09536,0.647622,,,0.09536,,partial_hologram_correction_failure,,,0.146667,0,51,1.0,
0.0,,,,,c4_sim4_pipeline,,,0.003784,,,1,,,1,,,0.0,,,graph_maintenance_disabled,,,none,10,,0.007324,,0.999993,0.5,0.258333,,0,,11,,0,,26,0.0,0,,,0.0,,,0.0,,1.0,,,0.043958,phase_noise,0.0,,,0.0,none,,0.013452,none,0.999993,0.999993,,,0.999993,,none,,,0.093333,1,52,0.439583,
1.0,,,,,c4_sim4_pipeline,,,0.012634,,,1,,,0,,,1.0,,,graph_maintenance_disabled,,,none,11,,0.025513,,0.999486,0.855072,0.423445,,0,,28,,0,,41,0.0,0,,,0.0,,,0.0,,1.0,,,0.074717,phase_noise,0.0,,,0.0,correction_write_disabled_oomphlap,,0.023312,verify_disabled_oomphlap,0.999486,0.999486,,,0.999486,,none,,,0.106667,0,53,0.747166,
0.0,,,,,c4_sim4_pipeline,,,0.018433,,,0,,,0,,,0.0,,,multi_stage_failure,,,partial_hologram_correction_failure,12,,6.1e-05,,0.324103,1.0,1.0,,0,,1,,1,,28,6.1e-05,2,,,0.040918,,,0.171035,,0.0,,,0.95,block_dropout,0.0,,,0.130117,correction_write_disabled_hologram,,0.208722,verify_disabled_hologram,0.153067,0.324103,,,0.153067,,partial_hologram_correction_failure,,,0.126667,0,54,1.0,
0.0,,,,,c4_sim4_pipeline,,,0.006042,,,1,,,1,,,0.0,,,graph_maintenance_disabled,,,none,13,,0.017578,,0.999957,0.878788,0.302083,,0,,11,,0,,42,0.0,0,,,0.0,,,0.0,,1.0,,,0.073461,phase_noise,0.0,,,0.0,none,,0.022521,none,0.999957,0.999957,,,0.999957,,none,,,0.133333,1,55,0.734612,
0.0,,,,,c4_sim4_pipeline,,,0.002808,,,0,,,0,,,0.0,,,multi_stage_failure,,,oomphlap_retry_failed,14,,0.000549,,0.985436,0.195652,1.0,,0,,21,,0,,31,0.0,0,,,0.0,,,0.0,,0.0,,,0.178533,distributed_dropout,0.0,,,0.0,correction_write_disabled_oomphlap,,0.032288,verify_disabled_oomphlap,0.985436,0.985436,,,0.985436,,oomphlap_retry_failed,,,0.146667,0,56,0.396739,
0.0,,,,,c4_sim4_pipeline,,,0.038452,,,0,,,0,,,0.0,,,multi_stage_failure,,,partial_hologram_correction_failure,15,,6.1e-05,,0.503426,1.0,1.0,,0,,1,,1,,45,6.1e-05,2,,,0.237357,,,0.237357,,0.0,,,0.95,block_dropout,0.0,,,0.0,multi_stage_failure,,0.213279,multi_stage_failure,0.266069,0.503426,,,0.266069,,partial_hologram_correction_failure,,,0.166667,0,57,1.0,
0.0,,,,,c4_sim4_pipeline,,,0.004333,,,1,,,1,,,0.0,,,graph_maintenance_disabled,,,none,16,,0.000977,,0.995769,0.225352,1.0,,0,,34,,0,,37,0.0,0,,,0.0,,,0.0,,1.0,,,0.188556,distributed_dropout,0.0,,,0.0,none,,0.034293,none,0.995769,0.995769,,,0.995769,,none,,,0.106667,1,58,0.419014,
0.0,,,,,c4_sim4_pipeline,,,0.007629,,,0,,,0,,,0.0,,,multi_stage_failure,,,oomphlap_retry_failed,17,,0.019775,,0.999948,0.904,0.348765,,0,,10,,0,,43,0.0,0,,,0.0,,,0.0,,0.0,,,0.076519,phase_noise,0.0,,,0.0,correction_write_disabled_oomphlap,,0.02354,verify_disabled_oomphlap,0.999948,0.999948,,,0.999948,,oomphlap_retry_failed,,,0.18,0,59,0.765191,
0.0,,,,,c4_sim4_pipeline,,,0.002686,,,1,,,1,,,0.0,,,graph_maintenance_disabled,,,none,18,,0.000488,,0.999999,0.181818,1.0,,0,,18,,0,,31,0.0,0,,,0.0,,,0.0,,1.0,,,0.367045,block_dropout,0.0,,,0.0,none,,0.078129,none,0.999999,0.999999,,,0.999999,,none,,,0.193333,1,60,0.386364,
0.0,,,,,c4_sim4_pipeline,,,0.006958,,,0,,,0,,,0.0,,,multi_stage_failure,,,oomphlap_retry_failed,19,,0.001526,,0.999978,0.157895,0.72,,0,,34,,0,,43,0.0,0,,,0.0,,,0.0,,0.0,,,0.134289,distributed_dropout,0.0,,,0.0,correction_write_disabled_oomphlap,,0.025051,verify_disabled_oomphlap,0.999978,0.999978,,,0.999978,,oomphlap_retry_failed,,,0.146667,0,61,0.298421,
0.1,0.6,0.017169,1,0.3,c4_sim4_pipeline,0.049896,0.0,,0.55,0.285714,,0.45,0.667372,,0.5,0,0.1,0.746936,0.857143,,0.008176,0,,,20,,0,,,,17.45,,0.092044,,3,,0.11272,,,,0.082031,0.687263,,0.45,0.55,,0.368891,0.55,1.0,0.45,,,,0.0,3,,,3,,,,,0.067065,5,,1.8e-05,,0.014322,0,,,,,0.1
